TRACE BEGIN axis=1 rows=800 kp=0.0002 ki=8e-07 kv=1.2e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=4 vmax=1100 accel=2200 vscale=1 ascale=0.4 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-47,0
5,-11,-38,-49,-4400,-974,-117,-513
10,-44,-86,-178,-8800,-2205,-117,-741
15,-150,-136,-332,-16234,-3487,-134,-775
20,-242,-192,-497,-20634,-4923,-144,-862
25,-356,-252,-679,-25034,-6462,-158,-935
30,-492,-320,-877,-29434,-8205,-174,-1030
35,-650,-418,-1100,-33834,-10718,-189,-1135
40,-831,-565,-1367,-38234,-14436,-199,-1214
45,-1033,-761,-1695,-42634,-18282,-203,-1244
50,-1257,-993,-2091,-47034,-23026,-205,-1241
55,-1503,-1247,-2553,-51434,-28205,-206,-1228
60,-1771,-1517,-3078,-55834,-33667,-209,-1218
65,-2061,-1800,-3664,-60234,-39359,-213,-1220
70,-2374,-2099,-4312,-64634,-45205,-219,-1235
75,-2708,-2420,-5028,-69034,-50692,-225,-1254
80,-3064,-2764,-5817,-73434,-55462,-230,-1274
85,-3442,-3133,-6683,-77834,-59692,-235,-1292
90,-3842,-3525,-7631,-82234,-63667,-240,-1304
95,-4264,-3940,-8666,-86634,-67692,-244,-1317
100,-4709,-4377,-9791,-91034,-71923,-249,-1331
105,-5175,-4835,-11009,-95434,-76333,-253,-1351
110,-5663,-5314,-12336,-99834,-80821,-258,-1467
115,-6173,-5816,-13802,-104234,-85359,-263,-1583
120,-6705,-6339,-15442,-108634,-89821,-268,-1705
125,-7259,-6885,-17291,-113034,-94256,-272,-1839
130,-7836,-7452,-19387,-117434,-98615,-277,-1989
135,-8434,-8042,-21775,-121834,-102974,-282,-2159
140,-9054,-8654,-24504,-126234,-107359,-309,-2353
145,-9696,-9303,-27637,-130634,-112154,-288,-2631
150,-10360,-9965,-31241,-135034,-116718,-292,-2814
155,-11047,-10645,-35385,-139434,-121179,-318,-3176
160,-11755,-11364,-40167,-143834,-126103,-297,-3520
165,-12485,-12079,-45686,-148234,-130333,-324,-3871
170,-13237,-12835,-52066,-152634,-135026,-326,-4513
175,-14011,-13617,-59468,-157034,-139846,-306,-4976
180,-14807,-14395,-68044,-161434,-143974,-334,-5649
185,-15626,-15217,-77976,-165834,-148256,-336,-6277
190,-16466,-16071,-89321,-170234,-153154,-316,-5641
195,-17328,-16915,-101922,-174634,-157103,-343,-5068
200,-18212,-17788,-115622,-179034,-161051,-349,-4566
205,-19118,-18697,-130286,-183434,-165923,-351,-4126
210,-20046,-19630,-145794,-187834,-170205,-353,-3741
215,-20997,-20580,-162041,-192234,-174590,-356,-3403
220,-21969,-21546,-178936,-196634,-179231,-360,-3108
225,-22963,-22529,-196398,-201034,-183154,-366,-2848
230,-23979,-23533,-214357,-205434,-186974,-372,-2621
235,-25017,-24562,-232752,-209834,-191667,-377,-2423
240,-26077,-25614,-251528,-214234,-196077,-381,-2248
245,-27160,-26689,-270639,-218634,-200179,-386,-2096
250,-28264,-27786,-290042,-223034,-204308,-391,-1962
255,-29390,-28906,-309702,-227434,-208564,-395,-1845
260,-30538,-30047,-329587,-231834,-212974,-400,-1743
265,-31708,-31209,-349668,-236234,-217462,-404,-1652
270,-32900,-32392,-369922,-240634,-221923,-409,-1573
275,-34115,-33597,-390327,-245034,-226333,-414,-1504
280,-35351,-34824,-410864,-249434,-230692,-419,-1444
285,-36609,-36073,-431517,-253834,-235026,-424,-1391
290,-37889,-37345,-452272,-258234,-239410,-429,-1345
295,-39191,-38639,-473116,-262634,-243769,-433,-1305
300,-40515,-39956,-494038,-267034,-248154,-438,-1269
305,-41862,-41294,-515027,-271434,-252564,-442,-1238
310,-43230,-42653,-536077,-275834,-256974,-447,-1210
315,-44620,-44035,-557179,-280234,-261385,-452,-1187
320,-46032,-45438,-578327,-284634,-265795,-457,-1166
325,-47466,-46864,-599516,-289034,-270205,-461,-1147
330,-48922,-48311,-620740,-293434,-274590,-466,-1131
335,-50401,-49781,-641994,-297834,-278974,-471,-1117
340,-51901,-51273,-663275,-302234,-283359,-476,-1105
345,-53423,-52787,-684580,-306634,-287769,-480,-1094
350,-54967,-54322,-705905,-311034,-292154,-485,-1084
355,-56533,-55880,-727249,-315434,-296564,-490,-1076
360,-58122,-57460,-748609,-319834,-301000,-494,-1068
365,-59732,-59061,-769983,-324234,-305385,-499,-1062
370,-61364,-60685,-791369,-328634,-309795,-504,-1057
375,-63018,-62330,-812766,-333034,-314154,-509,-1052
380,-64694,-63998,-834173,-337434,-318564,-513,-1048
385,-66392,-65688,-855587,-341834,-322974,-518,-1044
390,-68113,-67399,-877008,-346234,-327359,-523,-1041
395,-69855,-69133,-898436,-350634,-331769,-528,-1038
400,-71619,-70889,-919870,-355034,-336179,-532,-1035
405,-73405,-72666,-941309,-359434,-340564,-537,-1033
410,-75213,-74466,-962752,-363834,-344974,-542,-1031
415,-77043,-76288,-984199,-368234,-349385,-546,-1029
420,-78896,-78131,-1005648,-372634,-353769,-551,-1028
425,-80770,-79997,-1027100,-377034,-358179,-556,-1026
430,-82666,-81884,-1048554,-381434,-362564,-561,-1025
435,-84584,-83794,-1070011,-385834,-366974,-565,-1024
440,-86524,-85726,-1091470,-390234,-371359,-570,-1023
445,-88486,-87679,-1112930,-394634,-375744,-575,-1023
450,-90471,-89655,-1134392,-399034,-380154,-580,-1022
455,-92477,-91653,-1155855,-403434,-384564,-584,-1021
460,-94505,-93673,-1177319,-407834,-389000,-589,-1021
465,-96555,-95714,-1198784,-412234,-393385,-594,-1020
470,-98627,-97778,-1220250,-416634,-397769,-598,-1020
475,-100721,-99863,-1241717,-421034,-402154,-603,-1020
480,-102838,-101971,-1263185,-425434,-406564,-608,-1019
485,-104976,-104101,-1284653,-429834,-410974,-613,-1019
490,-107136,-106253,-1306122,-434234,-415385,-617,-1019
